,Domain,Company,Location,Start_Date,Duration,Stipend,Apply_by
1194,Python Development,JDMR Ischool,Work From Home,Immediately,3 Months,"5,000 /month",29 Aug' 22
1195,Anchoring,SARAL BHARAT NEWS,Work From Home,Immediately,3 Months,"1,000 /month +  Incentives",28 Aug' 22
1196,Video Making/Editing,Vivek Agarwal,Work From Home,Immediately,2 Months,"2,500 /month",28 Aug' 22
1197,Management Trainee,Accord Innovations Private Limited,Bangalore,Immediately,6 Months,"10,000 /month",28 Aug' 22
1198,Graphic Design,Tam Collective,Work From Home,Immediately,3 Months,"5,000 /month",29 Aug' 22
1199,Content Writing,Accord Innovations Private Limited,Work From Home,Immediately,6 Months,"2,000-4,000 /month",28 Aug' 22
1200,Supply Chain Management,Accord Innovations Private Limited,Bangalore,Immediately,6 Months,"10,000 /month",28 Aug' 22
1201,Digital Marketing,Accord Innovations Private Limited,Bangalore,Immediately,6 Months,"7,500-12,000 /month",28 Aug' 22
1202,Digital Marketing,Accord Innovations Private Limited,Work From Home,Immediately,6 Months,"2,500-5,000 /month",28 Aug' 22
1203,Graphic Design,Accord Innovations Private Limited,Work From Home,Immediately,6 Months,"2,000 /month",28 Aug' 22
1204,Marketing,Accord Innovations Private Limited,Work From Home,Immediately,6 Months,"2,000 /month",28 Aug' 22
1205,Digital Marketing,Namaste India Foundation,Work From Home,Immediately,2 Months,Unpaid,29 Aug' 22
1206,Graphic Design,Accord Innovations Private Limited,Bangalore,Immediately,6 Months,"8,000-12,000 /month",28 Aug' 22
1207,Operations,Seven X Tech,Work From Home,Immediately,3 Months,"5,000-10,000 /month",29 Aug' 22
1208,Search Engine Optimization (SEO),Deepak Bhardwaj,Work From Home,Immediately,6 Months,"3,000-5,000 /month",29 Aug' 22
1209,Social Media Marketing,Gradian Analytics,Work From Home,Immediately,2 Months,"2,500-8,000 /month",29 Aug' 22
1210,Subject Matter Expert (SME) Video Solutions,Endeavor Academy,Work From Home,Immediately,3 Months,"8,000-15,000 /month",28 Aug' 22
1211,Social Media Marketing,Ceir Mobility,Work From Home,Immediately,6 Months,"2,000 /month +  Incentives",29 Aug' 22
1212,Content Writing,Frillworks,Noida,Immediately,3 Months,"7,000-10,000 /month",29 Aug' 22
1213,Business Development (Sales),Dining Couture,Mumbai,Immediately,6 Months,"7,000 /month",29 Aug' 22
1214,Content Writing,Backbenchers Foundation,Work From Home,Immediately,1 Month,Unpaid,28 Aug' 22
1215,Content Writing,Vivek Agarwal,Work From Home,Immediately,2 Months,"2,500 /month",28 Aug' 22
1216,Content Writing,Volklite,Delhi,Immediately,3 Months,"3,000 /month +  Incentives",28 Aug' 22
1217,Web Development,Jams Infotech,Work From Home,Immediately,1 Month,"2,000-3,000 /month",28 Aug' 22
1218,Content Writing,InstaAstro,Noida,Immediately,3 Months,"10,000 /month",28 Aug' 22
1219,Content Writing,Accord Innovations Private Limited,Bangalore,Immediately,6 Months,"10,000-15,000 /month",28 Aug' 22
1220,Marketing,Accord Innovations Private Limited,Bangalore,Immediately,6 Months,"2,000 /month",28 Aug' 22
1221,Digital Marketing,Reporting Youth,Work From Home,Immediately,2 Months,"3,000-6,000 /month",29 Aug' 22
1222,Content Writing,Tremblzer,Work From Home,Immediately,2 Months,"1,000 /month",28 Aug' 22
1223,Social Media Marketing,MJ Makeup And Hair Academy,Work From Home,Immediately,3 Months,"3,000-5,000 /month",29 Aug' 22
1224,Web Development,India Clean Energy,Chennai,Immediately,4 Months,"2,500 /month",29 Aug' 22
1225,Business Development (Sales),Relinns Technologies,Chandigarh,Immediately,6 Months,"7,000 /month",29 Aug' 22
1226,Graphic Design,Enhanceyaa,Work From Home,Immediately,2 Months,"2,000 /month",29 Aug' 22
1227,Psychometrics,Tortoise Creative Incorporation (HappilyEver),Work From Home,Immediately,5 Months,"10,000 /month",29 Aug' 22
1228,Media & Public Relations (PR),Meter Down,Mumbai,Immediately,2 Months,"3,000-7,000 /month",29 Aug' 22
1229,Digital Marketing,ALPHA DELVING,Noida,Immediately,3 Months,"2,000-5,000 /month",29 Aug' 22
1230,Human Resources (HR),TopHawks Solutions,Work From Home,Immediately,3 Months,"3,000 /month",28 Aug' 22
1231,Creative Design,Simmi Foundation Organization,Work From Home,Immediately,3 Months,"2,500-5,000 /month",28 Aug' 22
1232,Web Development,Vishwasya Technologiess Private Limited,Pune,Immediately,3 Months,"3,000 /month",29 Aug' 22
1233,Content Writing,EvrstMedium,Work From Home,Immediately,3 Months,"3,000 /month +  Incentives",28 Aug' 22
1234,Human Resources (HR),Alpine Wellness LLP,Ahmedabad,Immediately,3 Months,"8,000 /month",28 Aug' 22
1235,Digital Marketing,Darshan Baid,Work From Home,Immediately,3 Months,"5,000 /month",29 Aug' 22
1236,Graphic Design,Darshan Baid,Work From Home,Immediately,3 Months,"5,000 /month",29 Aug' 22
1237,Business Development (Sales),BridgeGap Academy Private Limited,Work From Home,Immediately,3 Months,"5,000 /month +  Incentives",28 Aug' 22
1238,Graphic Design,The Startup Site,Work From Home,Immediately,2 Months,"4,000-7,000 /month",28 Aug' 22
1239,Human Resources (HR),Tynor Orthotics Private Limited,Chandigarh,Immediately,2 Months,"7,500 /month",28 Aug' 22
1240,Digital Marketing,Print Casual Brands Private Limited,Noida,Immediately,3 Months,"6,000-9,000 /month",28 Aug' 22
1241,Social Media Marketing,HODL Tech,Work From Home,Immediately,3 Months,"3,000-8,000 /month",29 Aug' 22
1242,Teaching (Piano Instrumental Music),Triluxo Technologies Private Limited,Work From Home,Immediately,3 Months,"1,000-2,500 /month",28 Aug' 22
1243,Business Development (Sales),Admit Achievers Private Limited,Faridabad,Immediately,3 Months,"2,000 /month +  Incentives",28 Aug' 22
1244,Business Development (Sales),Riskylead Entertainments Private Limited,Work From Home,Immediately,3 Months,"4,000 /month +  Incentives",28 Aug' 22
1245,Business Development (Sales),Eminenz Media Private Limited,Delhi,Immediately,3 Months,"7,000 /month",28 Aug' 22
1246,Business Development,Lucror,Work From Home,Immediately,6 Months,"7,500 /month +  Incentives",28 Aug' 22
1247,JavaScript Development,Paathshala Spark,Pune,Immediately,3 Months,"12,000 /month",28 Aug' 22
1248,Content Writing (NBA),FirstSportz,Work From Home,Immediately,3 Months,"5,000 /month",28 Aug' 22
1249,Strategic Leading,Ulead,Work From Home,Immediately,1 Month,"2,000-5,000 /month",28 Aug' 22
1250,Growth Marketing,Ulead,Work From Home,Immediately,1 Month,"2,000-5,000 /month",28 Aug' 22
1251,Human Resources (HR),First Hope Foundation,Work From Home,Immediately,2 Months,Unpaid,29 Aug' 22
1252,YouTube Teaching,Telugu Engineering,Work From Home,Immediately,2 Months,"2,500 /month",28 Aug' 22
1253,Business Development,Krayonnz,Work From Home,Immediately,6 Months,"6,000 /month",28 Aug' 22
1254,Marketing (Advertising & Promotion),Unschool,Work From Home,Immediately,1 Month,"2,000-5,000 lump sum",28 Aug' 22
1255,Human Resources (HR),Radical tech Support,Bhopal,Immediately,3 Months,"8,000 /month",29 Aug' 22
1256,Graphic Design,Radical tech Support,Bhopal,Immediately,3 Months,"8,000 /month",29 Aug' 22
1257,Customer Service,LearningAve,Work From Home,Immediately,6 Months,"1,000 /month +  Incentives",28 Aug' 22
1258,Marketing,Radical tech Support,Indore,Immediately,3 Months,"8,000 /month",29 Aug' 22
1259,Business Development (Sales),Treelance Envirotech Private Limited,Work From Home,Immediately,3 Months,"2,000-4,000 /month",28 Aug' 22
1260,Human Resources (HR),Sprite Genix,Work From Home,Immediately,3 Months,"1,000 /month",29 Aug' 22
1261,Mobile App Development,Vow's N View's,Work From Home,Immediately,3 Months,"7,000 /month +  Incentives",28 Aug' 22
1262,Business Development (Sales),Astria Media,Work From Home,Immediately,3 Months,"1,000 /month +  Incentives",28 Aug' 22
1263,Digital Marketing,Prike Media,Work From Home,Immediately,3 Months,"3,000 /month",28 Aug' 22
1264,Personal Assistance (To CEO),Innotech Ventures,Coimbatore,Immediately,3 Months,"10,000-15,000 /month",28 Aug' 22
1265,Social Media Marketing,Shubham Chadokar,Work From Home,Immediately,2 Months,"1,500 /month +  Incentives",28 Aug' 22
1266,Video Making/Editing,CUR8,Gurgaon,Immediately,3 Months,"8,000-15,000 /month",28 Aug' 22
1267,Content Writing,CUR8,Gurgaon,Immediately,3 Months,"8,000-15,000 /month",28 Aug' 22
1268,Marketing & Sales,SkillVertex,Work From Home,Immediately,1 Month,"1,000 /month +  Incentives",28 Aug' 22
1269,Business Development (Sales),The Brothers & Co,Work From Home,Immediately,2 Months,"3,000 /month +  Incentives",28 Aug' 22
1270,Google Research,Nettv4u,Work From Home,Immediately,1 Month,"5,000 /month",28 Aug' 22
1271,Social Media Optimization,DD Logics Technology,Work From Home,Immediately,6 Months,"2,000-4,000 /month",28 Aug' 22
1272,Video Making/Editing,Tirupati's,Work From Home,Immediately,2 Months,"2,000 /month",29 Aug' 22
1273,Backend Development,Monkhood Living Solutions Private Limited,Delhi,Immediately,3 Months,"2,000 /month",29 Aug' 22
1274,Business Development (Sales),Kushmanda Tech,Work From Home,Immediately,6 Months,"5,000 /month +  Incentives",28 Aug' 22
1275,Graphic Design,Kushmanda Tech,Work From Home,Immediately,6 Months,"5,000-7,500 /month",28 Aug' 22
1276,YouTube Video Creation,Corporate Line,Work From Home,Immediately,3 Months,"2,000-3,000 /month",28 Aug' 22
1277,Business Development (Sales),Infinity Learn,Patna,Immediately,4 Months,"10,000-75,000 /month",28 Aug' 22
1278,Mobile App Development,Theatron Square OPC Private Limited,Work From Home,Immediately,6 Months,"3,000 /month",28 Aug' 22
1279,Content Editing (Sports),Six Sports,Work From Home,Immediately,4 Months,"1,000 /month",28 Aug' 22
1280,Digital Marketing,Smapit Media (OPC) Private Limited,Work From Home,Immediately,6 Months,"5,000-12,000 /month",28 Aug' 22
1281,Business Development (Sales),The Honest Career Company,Work From Home,Immediately,2 Months,"1,000 /month +  Incentives",28 Aug' 22
1282,Content Writing,Techvire,Work From Home,Immediately,2 Months,"1,500-2,500 /month",28 Aug' 22
1283,Content Writing (Football),FirstSportz,Work From Home,Immediately,3 Months,"5,000 /month",28 Aug' 22
1284,Digital Marketing,Parnami Infratech Private Limited,Delhi,Immediately,6 Months,"10,000-12,000 /month",29 Aug' 22
1285,Human Resources (HR),Umagine,Ahmedabad,Immediately,3 Months,"10,000 /month",28 Aug' 22
1286,Video Editing & Motion Graphic Designing,Digital Seed Private Limited,Work From Home,Immediately,2 Months,"6,000 /month",28 Aug' 22
1287,Social Media Management,Niswarth – The Selfless,Work From Home,Immediately,4 Months,Unpaid,28 Aug' 22
1288,Social Media Marketing,Fashion Affair,Work From Home,Immediately,2 Months,"1,500 /month",28 Aug' 22
1289,Human Resources (HR),YunicSolutions,Delhi,Immediately,2 Months,"21,000-36,000 lump sum",28 Aug' 22
1290,Operations,Sports4All,Work From Home,Immediately,6 Months,"1,500 /month",28 Aug' 22
1291,Cloud Engineering,Nulenta Private Limited,Work From Home,Immediately,6 Months,"5,000-12,000 /month",28 Aug' 22
1292,Social Media Marketing,Property Megamart Realty Private Limited,Work From Home,Immediately,3 Months,"2,000 /month",29 Aug' 22
1293,Graphic Design,Klynus Technology Private Limited,Mysuru,Immediately,6 Months,"5,000 /month",28 Aug' 22
1294,E-mail Marketing,Outsource Services 2 India,Work From Home,Immediately,5 Months,"1,200 /month +  Incentives",28 Aug' 22
1295,Graphic Design,Codevirus Security,Lucknow,Immediately,3 Months,"2,000 /month",28 Aug' 22
1296,Videography,Xplorazzi Adventures,Work From Home,Immediately,1 Month,"5,000 /month",28 Aug' 22
1297,Business Development (Lead Generation),Techno Brainz,Work From Home,Immediately,2 Months,"1,000 /month",28 Aug' 22
1298,Collaborations & Fundraising,EdJustice Foundation,Work From Home,Immediately,6 Months,Unpaid,28 Aug' 22
1299,Finance & Accounting,Rydeu Logistics UG,Work From Home,Immediately,6 Months,"8,000-12,000 /month",28 Aug' 22
1300,Operations,NPR Design,Mumbai,Immediately,6 Months,"7,000 /month",28 Aug' 22
1301,Law/Legal,VAS Legal,Work From Home,Immediately,2 Months,Unpaid,28 Aug' 22
1302,Business Development (Sales),Astaax Elite,Work From Home,Immediately,6 Months,"1,000-15,000 /month",28 Aug' 22
1303,Content Writing,Paathshala Spark,Work From Home,Immediately,3 Months,"5,000 /month",28 Aug' 22
1304,Social Media Marketing,MetaPlus Technologies Private Limited,Work From Home,Immediately,1 Month,"1,000 /month",28 Aug' 22
1305,2D Animation,Nibbl,Work From Home,Immediately,6 Months,"15,000 /month",28 Aug' 22
1306,Crypto Smart Contract Engineering,Dheyo,Work From Home,Immediately,6 Months,"10,000 /month",29 Aug' 22
1307,Digital Marketing,Universal School Of Creative Arts,Mumbai,Immediately,6 Months,"8,000-12,000 /month",28 Aug' 22
1308,Graphic Design,BluEncore,Work From Home,Immediately,6 Months,"2,500 /month",29 Aug' 22
1309,Vue.js & Nuxt.js Development,Paathshala Spark,Work From Home,Immediately,3 Months,"10,000 /month",28 Aug' 22
1310,Marketing,SetMyWed,Delhi,Immediately,2 Months,"4,000-10,000 /month",29 Aug' 22
1311,Business Development (Sales),Manush Digitech,Work From Home,Immediately,6 Months,"5,000 /month",28 Aug' 22
1312,Marketing,Repsoft,Hyderabad,Immediately,3 Months,"15,000 /month",28 Aug' 22
1313,Business Development (Sales),Monitra Healthcare Private Limited,Hyderabad,Immediately,3 Months,"16,000 /month +  Incentives",30 Aug' 22
1314,Operations,Elkan Alkarana LLP,Work From Home,Immediately,2 Months,"6,000 /month",28 Aug' 22
1315,Python Backend Development,Simmi Foundation Organization,Work From Home,Immediately,3 Months,Unpaid,28 Aug' 22
1316,Digital Marketing,AgroTrac Solutions,Faridabad,Immediately,2 Months,"8,000 /month +  Incentives",28 Aug' 22
1317,Travel & Tourism,LivingStone Stays,Work From Home,Immediately,4 Months,"7,000 /month",29 Aug' 22
1318,Customer Service,E-Feed,Lucknow,Immediately,3 Months,"8,000 /month +  Incentives",28 Aug' 22
1319,Content Writing,Websunn - Online Grocery Shopping Store,Work From Home,Immediately,2 Months,"3,000 /month",28 Aug' 22
1320,Business Development (Sales),BriCabin,Leh,Immediately,3 Months,"10,000-12,000 /month",28 Aug' 22
1321,Shorts Video Editing,Paisowala,Work From Home,Immediately,2 Months,"3,000 /month",28 Aug' 22
1322,Digital Marketing,Omeducom Solutions Private Limited,Jaipur,Immediately,3 Months,"5,000 /month",28 Aug' 22
1323,Digital Marketing,Politicode LLP,Jaipur,Immediately,3 Months,"5,000 /month",28 Aug' 22
1324,Operations,Sharify Adverts,Work From Home,Immediately,1 Week,600 /week,28 Aug' 22
1325,Content Creation & Video Making,Local Nation,Work From Home,Immediately,2 Months,"3,000-5,000 /month",28 Aug' 22
1326,Human Resources (HR),Dave Group,Jabalpur,Immediately,3 Months,"3,000-5,000 /month",28 Aug' 22
1327,Content Writing,Aryan Jalan,Unnao,Immediately,6 Months,"5,000-9,000 /month",29 Aug' 22
1328,Digital Marketing,Anantadi,Pune,Immediately,3 Months,"4,000-8,000 /month",29 Aug' 22
1329,Social Media Marketing,Amba International,Bangalore,Immediately,1 Month,"5,000 /month",28 Aug' 22
1330,Volunteering,Simmi Foundation Organization,Work From Home,Immediately,6 Weeks,Unpaid,28 Aug' 22
1331,Web Development,Delhiwallpapers,Delhi,Immediately,6 Months,"5,000-8,000 /month",29 Aug' 22
1332,Email Marketing,Seed Funds,Work From Home,Immediately,6 Months,"3,500 /month",28 Aug' 22
1333,Content Writing,PowerMitra,Mumbai,Immediately,4 Months,"5,000 /month",28 Aug' 22
1334,Content Writing,ValidEdge,Work From Home,Immediately,1 Month,"3,001 /month",28 Aug' 22
1335,Team Leading (Sales),Ulead,Work From Home,Immediately,1 Month,"3,000-5,000 /month",28 Aug' 22
1336,Graphic Design,Sear Branding Processes Private Limited,Bhubaneswar,Immediately,3 Months,"3,500-7,000 /month",28 Aug' 22
1337,Operations,Neeraj Khandelwal,Work From Home,Immediately,2 Months,"5,000 /month",28 Aug' 22
1338,Graphic Design,Promotup HR Solutions,Ahmedabad,Immediately,6 Months,"10,000 /month",28 Aug' 22
1339,Social Media Marketing,Caterspoint,Gurgaon,Immediately,6 Months,"15,000 /month",28 Aug' 22
1340,Project Management,Simmi Foundation Organization,Work From Home,Immediately,3 Months,Unpaid,28 Aug' 22
1341,Social Media Marketing,The Professional Couriers,Bangalore,Immediately,6 Months,"7,000 /month",28 Aug' 22
1342,Graphic Design,The Designco,Work From Home,Immediately,1 Month,"2,500 /month",28 Aug' 22
1343,Business Development (Sales),CogniAble,Delhi,Immediately,6 Months,"25,000 /month",28 Aug' 22
1344,Graphic Design,Celebrare,Work From Home,Immediately,1 Month,"8,000-12,000 /month",29 Aug' 22
1345,Data Entry,Mumbai Property Exchange,Mumbai,Immediately,6 Months,"10,000-15,000 /month",29 Aug' 22
1346,Content Writing,The Script Co.,Work From Home,Immediately,3 Months,"10,000 /month",29 Aug' 22
1347,Business Development (Sales),Itishrri,Delhi,Immediately,1 Month,"2,000 /month +  Incentives",28 Aug' 22
1348,Content Writing,K4 Media & Technologies,Jaipur,Immediately,4 Months,"10,000 /month",28 Aug' 22
1349,Web Development,Neeraj Khandelwal,Work From Home,Immediately,3 Months,"10,000-12,000 /month",28 Aug' 22
1350,Graphic Design,LearningAve,Work From Home,Immediately,2 Months,"1,500 /month",29 Aug' 22
1351,Digital Marketing,Bhashik Skill Development Private Limited,Pune,Immediately,6 Months,"6,000 /month",28 Aug' 22
1352,Business Development (Sales),LawDocs,Work From Home,Immediately,3 Months,"1,000 /month +  Incentives",28 Aug' 22
1353,Content Writing,WebReach Media Private Limited,Mumbai,Immediately,6 Months,"10,000-15,000 /month",28 Aug' 22
1354,Operations,Innovative Business Education Media (IBEM Solutions LLP),Delhi,Immediately,6 Months,"6,000 /month",28 Aug' 22
1355,Creative 3D Design,LearnAsYouGo Private Limited,Work From Home,Immediately,3 Months,"5,000-8,000 /month",28 Aug' 22
1356,Graphic Design,Roving PS Private Limited,Delhi,Immediately,2 Months,"7,500 /month",29 Aug' 22
1357,Event Management & Operations,Blissful Plans,Delhi,Immediately,3 Months,"5,000 /month",28 Aug' 22
1358,Video Making/Editing,Brooks And Glane,Chandigarh,Immediately,6 Months,"8,000 /month",28 Aug' 22
1359,Web Development,Gencosys Technologies Private Limited,Work From Home,Immediately,3 Months,"6,000 /month",29 Aug' 22
1360,Business Studies & Management,LevelApp,Work From Home,Immediately,6 Months,"10,000 /month",28 Aug' 22
1361,Video Making/Editing,Global InfoCloud Private Limited,Work From Home,Immediately,6 Months,"5,000 /month",28 Aug' 22
1362,Law/Legal,Law Chambers - Advocate Ashok Bhatia & Rahul Talreja,Mumbai,Immediately,6 Months,Unpaid,28 Aug' 22
1363,Journalism,Simmi Foundation Organization,Work From Home,Immediately,3 Months,Unpaid,28 Aug' 22
1364,Video Editing,zekeLabs Technologies Private Limited,Bangalore,Immediately,6 Months,"10,000-15,000 /month",28 Aug' 22
1365,Business Development (Sales),SKOG,Delhi,Immediately,5 Months,"12,000-15,000 /month",28 Aug' 22
1366,Executive Assistant (To CEO),RSVR Technlogies Private Limited,Delhi,Immediately,6 Months,"25,000 /month",28 Aug' 22
1367,Business Development (Sales),HCDS Technologies,Bahadurgarh,Immediately,2 Months,"7,500-25,000 /month",28 Aug' 22
1368,Social Work,Simmi Foundation Organization,Work From Home,Immediately,6 Weeks,Unpaid,28 Aug' 22
1369,Graphic Design,Chordia Electrical,Work From Home,Immediately,2 Months,"3,000 /month",28 Aug' 22
1370,Content Writing,TeqZilla Technologies,Work From Home,Immediately,3 Months,"4,000-5,000 /month",28 Aug' 22
1371,Content Development (Psychology),NerdNerdy Technologies,Gurgaon,Immediately,3 Months,"2,000 /month",28 Aug' 22
1372,Content Writing (eSports),FirstSportz,Work From Home,Immediately,3 Months,"5,000 /month",28 Aug' 22
1373,Social Media Marketing,Codviki Technologies,Lucknow,Immediately,3 Months,"3,000 /month",28 Aug' 22
1374,Animation,SR Gauni Fashion & Apparels,Hyderabad,Immediately,3 Months,"6,000 /month +  Incentives",28 Aug' 22
1375,Graphic Design,CyberSiN Private Limited,Work From Home,Immediately,1 Month,"1,000 /month +  Incentives",28 Aug' 22
1376,Field Sales,Startologic Technologies,Thane,Immediately,6 Months,"10,000 /month",28 Aug' 22
1377,Graphic Design,The Luxury Florett,Delhi,Immediately,3 Months,"5,000 /month",28 Aug' 22
1378,Graphic Design,Codviki Technologies,Lucknow,Immediately,3 Months,"3,000 /month",28 Aug' 22
1379,Production Support,Analinear Technologies,Hyderabad,Immediately,6 Months,"15,000 /month",28 Aug' 22
1380,Digital Marketing,Fluraa Essence,Kolkata,Immediately,6 Months,"5,000 /month",28 Aug' 22
1381,Video Making/Editing,Meet Animations,Work From Home,Immediately,3 Months,"7,000 /month",28 Aug' 22
1382,Client Servicing,Qnox Advertising,Work From Home,Immediately,6 Months,"3,000-5,000 /month",28 Aug' 22
1383,Social Media Marketing,Chhanv Foundation,Noida,Immediately,6 Months,"15,000-18,000 /month",28 Aug' 22
1384,Business Development (Sales),Noesis Capital Advisors,Mumbai,Immediately,3 Months,"10,000 /month",28 Aug' 22
1385,Video Editing,Okli Private Limited,Work From Home,Immediately,2 Months,"1,000 /month",28 Aug' 22
1386,Search Engine Optimization (SEO),UltraGenius Tech Private Limited,Mumbai,Immediately,3 Months,"6,000 /month",28 Aug' 22
1387,Marketing,Highway Delite,Odisha,Immediately,5 Months,"10,000 /month",28 Aug' 22
1388,Backend Development (Wow.js/Node.js),Sach Ramchandani,Pune,Immediately,5 Months,"12,000 /month",28 Aug' 22
1389,Business Development (Sales),The Luxury Florett,Delhi,Immediately,3 Months,"5,000 /month",28 Aug' 22
1390,Human Resources (HR),8Views,Hyderabad,Immediately,4 Months,"5,000 /month",28 Aug' 22
1391,Digital Marketing,Apzle Technology,Delhi,Immediately,3 Months,"3,000 /month",28 Aug' 22
1392,Web Design,Start Solar India,Delhi,Immediately,6 Months,"5,000-10,000 /month",28 Aug' 22
1393,Business Development (Sales),Turudo Enterprises Private Limited,Work From Home,Immediately,2 Months,"2,000 /month +  Incentives",28 Aug' 22
1394,Social Science & Science (Malayalam) Teaching,LevelApp,Keralapuram,Immediately,6 Months,"10,000-14,000 /month",28 Aug' 22
1395,Telecalling,Ergon Posture Solutions,Work From Home,Immediately,1 Month,"1,500 /month",29 Aug' 22
1396,Social Media Marketing,Ergon Posture Solutions,Work From Home,Immediately,2 Months,"1,500 /month",29 Aug' 22
1397,Operations,Wiishbox Consumer Private Limited,Mumbai,Immediately,3 Months,"10,000-15,000 /month",28 Aug' 22
1398,Business Development (Sales),The Great Indian Derby,Work From Home,Immediately,3 Months,"2,000 /month +  Incentives",28 Aug' 22
1399,Data Entry,Lilac Insights Private Limited,Navi Mumbai,Immediately,6 Months,"12,000 /month",28 Aug' 22
1400,Start Up Fundraising,SalamiSlicing Private Limited,Work From Home,Immediately,1 Month,"20,000 /month",28 Aug' 22
1401,Market Research,Cendrol Construction Contracts Private Limited,Bangalore,Immediately,2 Months,"15,000 /month",28 Aug' 22
1402,Graphic Design,Titan Motocorp,Ranchi,Immediately,3 Months,"2,500 /month +  Incentives",28 Aug' 22
1403,Marketing,TopHawks Solutions,Raipur,Immediately,1 Week,"3,000 /week",28 Aug' 22
1404,Social Media Marketing,Sigmac,Jaipur,Immediately,3 Months,"8,000-15,000 /month",28 Aug' 22
1405,EV Business Development,Highway Delite,Odisha,Immediately,5 Months,"20,000-22,000 /month",28 Aug' 22
1406,Marketing,Amplitude Skill Training And Consulting Private Limited,Navi Mumbai,Immediately,3 Months,"2,000 /month +  Incentives",28 Aug' 22
1407,Sales Calling,Influnc,Work From Home,Immediately,3 Months,"1,000 /month",28 Aug' 22
1408,Film Editing (Assistance),P Se Picture,Mumbai,Immediately,2 Months,"10,000-20,000 /month",28 Aug' 22
1409,Talent Acquisition,CUR8,Gurgaon,Immediately,3 Months,"8,000-13,000 /month",28 Aug' 22
1410,Flutter App Development,ParkIt,Mumbai,Immediately,6 Months,"7,500-12,500 /month",28 Aug' 22
1411,Digital Marketing,Counselling Gurus,Work From Home,Immediately,1 Month,"1,000 /month +  Incentives",29 Aug' 22
1412,Business Operations,CUR8,Gurgaon,Immediately,3 Months,"8,000-13,000 /month",28 Aug' 22
1413,Web Development,Creatosaurus,Work From Home,Immediately,3 Months,"3,000-7,000 /month",29 Aug' 22
1414,Content Writing,Italics,Work From Home,Immediately,4 Months,"9,000-12,000 /month",28 Aug' 22
1415,Web Development,Veda Space,Work From Home,Immediately,6 Months,"15,000 /month",28 Aug' 22
1416,Social Work,Sarkari School,Work From Home,Immediately,1 Month,Unpaid,28 Aug' 22
1417,Logistics Management,Best Roadways Limited,Mumbai,Immediately,4 Months,"5,000 /month",28 Aug' 22
1418,Mobile App Development,Arth I-Soft,Ahmedabad,10 Feb - 11 Mar' 23,6 Months,"10,000 /month",28 Aug' 22
1419,Social Media Marketing,Nest Corner,Work From Home,Immediately,3 Months,"7,000-10,000 /month",28 Aug' 22
1420,Finance Research Analysis,Banesto Products Private Limited,Ahmedabad,Immediately,2 Months,"3,000-5,000 /month",28 Aug' 22
1421,Social Media Marketing,Virtual Arcade,Work From Home,Immediately,1 Week,600 /week,28 Aug' 22
1422,Operations,Virtual Arcade,Work From Home,Immediately,1 Week,600 /week,28 Aug' 22
1423,Marketing,SalamiSlicing Private Limited,Work From Home,Immediately,3 Months,"15,000 /month",28 Aug' 22
1424,Business Development (Sales),ATCON SYSTEMS,Thane,Immediately,2 Months,"5,000 /month",28 Aug' 22
1425,Content Writing,Examic,Work From Home,Immediately,6 Months,"3,000 /month",28 Aug' 22
1426,Graphic Design,Peridot DigiTech Private Limited,Kolkata,Immediately,3 Months,"6,000-16,000 /month",28 Aug' 22
1427,Front Office Execution,Ambition Colonisers Pvt Ltd,Gurgaon,Immediately,3 Months,"5,000 /month",28 Aug' 22
1428,Photography,Studio 11 Productions,Mumbai,Immediately,6 Months,"2,000-5,000 /month",28 Aug' 22
1429,Human Resources (HR),Pardigm Services,Bangalore,Immediately,6 Months,"5,000 /month",28 Aug' 22
1430,Marketing,Hachi With Love,Mumbai,Immediately,3 Months,"7,000-10,000 /month",28 Aug' 22
1431,Business Development (Sales),Codviki Technologies,Lucknow,Immediately,3 Months,"3,000 /month",28 Aug' 22
1432,Social Media Marketing,Hachi With Love,Mumbai,Immediately,3 Months,"7,000-10,000 /month",28 Aug' 22
1433,Teaching (Thai Language),Multibhashi,Work From Home,Immediately,6 Months,"5,000-8,000 /month",28 Aug' 22
1434,Human Resources (HR),DUARZ HR SERVICES PRIVATE LIMITED,Delhi,Immediately,3 Months,"3,000-6,000 /month",28 Aug' 22
1435,Site Engineering (Civil),Hire And Build,Chennai,Immediately,3 Months,"5,000 /month",28 Aug' 22
1436,SEO Content Writing,Unifrost India,Work From Home,Immediately,3 Months,"10,000 /month",28 Aug' 22
1437,Content Development,Quizzy,Work From Home,Immediately,3 Months,"3,000-5,000 /month",28 Aug' 22
1438,Content Writing,SGRS Group,Ranchi,Immediately,6 Months,"12,000-14,000 /month",28 Aug' 22
1439,Graphic Design,Ozonesoft Solutions,Indore,Immediately,6 Months,"3,000 /month",28 Aug' 22
1440,Social Work,Speak Up World Foundation,Work From Home,Immediately,1 Month,Unpaid,28 Aug' 22
1441,Digital Marketing,ZappKode Solutions,Wadi,Immediately,4 Months,"3,000-5,000 /month",28 Aug' 22
1442,Mechanical Innovation Engineer,Ashva All Terrain Equipment Private Limited,Bangalore,Immediately,6 Months,"2,500-6,000 /month",28 Aug' 22
1443,Interior Design,Jorim Technology Solutions Private Limited,Chennai,Immediately,6 Months,"10,000 /month",28 Aug' 22
